id,prompt,model,aspect_ratio,resolution
exp_022,[격투게임 선택] Fighting game character select screen. Uploaded person as a unique fighter with 3 different costume colors shown. Health bar and special move icons displayed. Japanese arcade game aesthetic. Pixel art portraits. VS screen layout with dramatic lighting.,Nano Banana Pro,16:9,2K
exp_023,[마인크래프트 스킨] Minecraft game screenshot with uploaded person transformed into blocky Minecraft character skin. Standing in iconic Minecraft landscape with creeper nearby. Cubic voxel art style. Game UI elements visible. Authentic in-game screenshot appearance.,Nano Banana Pro,16:9,2K
exp_024,[심즈 캐릭터] The Sims 4 game screenshot with uploaded person as a Sim character. Plumbob diamond floating above head. Sim-style simplified features. Suburban house interior background. Mood indicators and UI elements. Authentic Sims game screenshot style.,Nano Banana Pro,16:9,2K
exp_025,[보스 체력바] Epic video game boss fight scene. Uploaded person as the final boss with dramatic entrance pose. Large health bar at top of screen displaying their name. Dark arena with dramatic red and purple lighting. Intimidating aura effects. Player character small in foreground. Dark Souls aesthetic.,Nano Banana Pro,16:9,2K
exp_026,[마블 포스터] Marvel Cinematic Universe movie poster featuring uploaded person as a new superhero. Dramatic pose with superpower effects. Title treatment in Marvel style. Other Avengers silhouettes in background. Cinematic lighting with lens flares. Tagline at bottom. Release date placeholder. Official MCU poster design.,Nano Banana Pro,9:16,2K
exp_027,[왕좌의 게임] Game of Thrones style promotional poster. Uploaded person seated on the Iron Throne wearing medieval royal attire. Dramatic moody lighting. Snow or fire effects. HBO series poster aesthetic. Tagline "Winter Is Coming" or similar. Dark fantasy atmosphere.,Nano Banana Pro,9:16,2K
exp_028,[웨스 앤더슨] Wes Anderson film still featuring uploaded person. Perfect symmetrical composition. Pastel color palette pink yellow mint. Quirky costume with vintage details. Deadpan expression looking directly at camera. Retro 1960s set design. Centered framing. Aspect ratio appropriate for Anderson style.,Nano Banana Pro,16:9,2K
exp_029,[봉준호 영화] Bong Joon-ho Korean cinema style dramatic scene. Uploaded person in intense emotional moment. Class contrast visual metaphor. Rain or dramatic weather. Green-tinted color grading. Social commentary composition. Korean film aesthetic. Parasite or Mother movie mood.,Nano Banana Pro,21:9,2K
exp_030,[느와르 탐정] Classic film noir detective movie poster. Uploaded person as hardboiled private eye in trench coat and fedora. Cigarette smoke swirling. Femme fatale silhouette in background. Venetian blind shadows across face. Black and white with high contrast. 1940s typography. Moody atmospheric.,Nano Banana Pro,9:16,2K
exp_031,[애니메이션 변신] Magical girl transformation sequence. 4-panel vertical strip showing uploaded person transforming: 1) Normal clothes looking surprised 2) Glowing magical energy surrounding 3) Mid-transformation sparkles and ribbons 4) Full magical girl outfit with wand pose. Sailor Moon anime style. Sparkle effects throughout.,Nano Banana Pro,9:16,2K
exp_032,[이모지가 된 나] Sheet of 16 emoji expressions featuring uploaded person's face. 4x4 grid showing: happy sad angry surprised sleepy cool crying laughing heart-eyes thinking winking screaming party sick money-face starry-eyed. Consistent chibi style. Emoji sticker pack format. Transparent style background circles.,Nano Banana Pro,1:1,2K
exp_033,[드로스테 효과] Recursive Droste effect image. Uploaded person holding a picture frame containing the same image of themselves holding a frame infinitely repeating. At least 5 visible recursions getting smaller. Surreal gallery setting. Mind-bending infinite loop. Sharp focus on each recursion level.,Nano Banana Pro,1:1,2K
exp_034,[매트릭스 총알] Matrix bullet-time scene. Uploaded person in black leather coat dodging bullets in slow motion. Rippling air distortion around bullets. Green code rain in background. Dramatic back-bend pose. Multiple exposure motion blur. Cyberpunk aesthetic. Iconic action movie moment.,Nano Banana Pro,21:9,2K
exp_035,[인셉션 도시] Inception-style folding city scene. Uploaded person walking on sidewalk as the city bends upward impossibly at 90 degrees. Buildings on vertical surface with people walking normally. Mind-bending gravity defying perspective. Christopher Nolan surrealism. Detailed architecture.,Nano Banana Pro,1:1,2K
exp_036,[작품 속으로] Uploaded person stepping into Van Gogh's Starry Night painting. Half of their body realistic half transformed into swirling post-impressionist brushstrokes. Merging between photography and painting. Portal between reality and art. Creative transition effect.,Nano Banana Pro,16:9,2K
exp_037,[이중노출] Double exposure artistic portrait. Uploaded person's silhouette filled with a different scene: city skyline forest landscape or galaxy. Dreamy ethereal blending. Profile view optimal. High contrast black and white with color scene inside. Fine art photography technique.,Nano Banana Pro,3:4,2K
exp_038,[감정의 색] Abstract visualization of emotion surrounding uploaded person. Swirling colors and shapes emanating from figure representing inner feelings. Warm colors for joy cool for melancholy. Synesthesia artistic interpretation. Ethereal and painterly. Person recognizable in center of emotional storm.,Nano Banana Pro,1:1,2K
exp_039,[꿈의 시각화] Surrealist dreamscape with uploaded person floating among symbolic objects. Giant clock melting flowers made of glass fish swimming through clouds. Salvador Dali meets personal dream journal. Impossible physics soft ethereal lighting. Subconscious imagery visualized.,Nano Banana Pro,16:9,2K
exp_040,[음악 시각화] Visualized soundscape surrounding uploaded person wearing headphones. Musical notes transforming into colorful flowing ribbons. Sound waves as visible light trails. Synesthesia art concept. Dynamic movement suggesting rhythm. Genre suggested by visual style jazz smooth classical angular.,Nano Banana Pro,1:1,2K
exp_041,[2050년의 나] Uploaded person in year 2050 futuristic setting. Holographic interfaces surrounding them. Flying vehicles through window. Advanced but realistic near-future fashion. Subtle cybernetic enhancements optional. Optimistic sci-fi aesthetic. Clean minimalist future design. Blade Runner 2049 lighting.,Nano Banana Pro,16:9,2K
exp_042,[우주비행사] Uploaded person as astronaut floating in space with Earth visible below. Realistic NASA-style spacesuit with reflection in helmet visor. Tether connecting to spacecraft. Stars and Milky Way in background. Photorealistic space photography. Overview effect contemplative moment.,Nano Banana Pro,16:9,2K
exp_043,[사이보그 변환] Half-human half-machine portrait of uploaded person. One side organic and natural other side revealed as cybernetic with visible circuits and glowing elements. Seamless transition down center. Cyberpunk aesthetic. Exploration of human-AI merger. Detailed mechanical components.,Nano Banana Pro,1:1,2K
exp_044,[홀로그램 프레젠테이션] Uploaded person as holographic projection giving TED-talk style presentation. Blue transparent hologram effect. Futuristic conference stage. Audience silhouettes in darkness. Data visualizations floating around speaker. Iron Man hologram aesthetic. Technology keynote atmosphere.,Nano Banana Pro,16:9,2K
exp_045,[AI가 그린 초상화] Portrait of uploaded person as imagined by artificial intelligence. Blend of multiple art styles morphing and transitioning. Some areas photorealistic others abstract or glitched. Meta-commentary on AI image generation. Beautiful imperfection. Uncanny valley exploration.,Nano Banana Pro,1:1,2K
exp_046,[인스타 vs 현실] Split screen comparison. LEFT side labeled "Instagram": uploaded person perfectly posed with ring light ideal angle flawless filter glamorous. RIGHT side labeled "Reality": same person in messy room bad angle eating snacks comfortable clothes. Comedic contrast. Relatable content format.,Nano Banana Pro,16:9,2K
exp_047,[바이럴 밈 템플릿] Classic meme format with uploaded person. Drake meme style with two panels: top panel person disapproving gesture bottom panel person approving pointing. Clean white background. Bold Impact font space for text. Ready-to-use meme template. Expressive clear emotions.,Nano Banana Pro,1:1,2K
exp_048,[타임캡슐 편지] Aged photograph style image of uploaded person with handwritten letter overlay. Paper texture and coffee stains. Vintage photo corners. Text reads "To my future self" in elegant handwriting. Nostalgic sentimental atmosphere. Scrapbook memory aesthetic. Time capsule concept.,Nano Banana Pro,4:3,2K
exp_049,[나만의 우표] Postal stamp design featuring uploaded person as commemorative stamp. Perforated edges. Country name and denomination. Ornate border design. Official government stamp aesthetic. Collection-worthy design. Profile or portrait view. Vintage or modern stamp style.,Nano Banana Pro,3:4,2K
exp_050,[화폐 초상화] Currency bill design featuring uploaded person as the portrait. Intricate engraving line art style. Security patterns and microtext. Denomination numbers. Central bank official design aesthetic. Presidential or historical figure treatment. Green and cream traditional color scheme or colorful modern bill.,Nano Banana Pro,16:9,2K
