id,prompt,model,aspect_ratio,resolution
art_015,[어린이 동화책] Children's picture book illustration style. Warm friendly color palette with soft edges. Simple appealing character designs. Textured digital brushwork resembling gouache. Narrative storytelling composition. Cozy inviting atmosphere. Age-appropriate cheerful aesthetic with gentle humor.,Nano Banana Pro,4:3,2K
art_016,[빈티지 포스터] Vintage travel poster illustration style. Bold flat color blocks with limited palette. Art Deco geometric stylization. Dramatic perspective and simplified forms. Retro typography integration if appropriate. 1930s-1950s advertising aesthetic. Romantic idealized destination imagery.,Nano Banana Pro,9:16,2K
art_017,[Pop Mart 블라인드박스] Transform into Pop Mart blind box collectible figure style. Cute chibi proportions with oversized head. Glossy vinyl toy surface finish. Soft pastel color palette. Large expressive eyes with star highlights. Collectible designer toy aesthetic. Clean simple forms with subtle details. Display packaging environment optional.,Nano Banana Pro,1:1,2K
art_018,[Funko Pop 피규어] Render as Funko Pop vinyl figure. Distinctive square head with rounded edges. Oversized black circular eyes with no pupils. Small body with simplified limbs. Flat matte finish appearance. Standing on circular black base. Recognizable stylized caricature. Box packaging visible if desired.,Nano Banana Pro,3:4,2K
art_019,[레고 미니피규어] Transform into LEGO minifigure style. Blocky cylindrical head with C-shaped hands. Classic yellow skin tone option. Printed facial features and torso details. Modular toy brick aesthetic. Playful construction toy world setting. Shiny ABS plastic material appearance.,Nano Banana Pro,1:1,2K
art_020,[클레이 애니메이션] Claymation stop-motion animation style. Visible fingerprint textures on clay surface. Slightly imperfect handmade charm. Warm studio lighting with soft shadows. Aardman or Laika aesthetic. Physical tangible material quality. Expressive moldable character forms.,Nano Banana Pro,16:9,2K
art_021,[니트 인형] Handcrafted knitted doll style. Yarn texture with visible stitches throughout. Soft amigurumi crochet aesthetic. Button eyes and embroidered features. Cozy warm material appearance. Craft room or cozy interior setting. Handmade artisan quality with slight imperfections.,Nano Banana Pro,1:1,2K
art_022,[종이 공예] Paper craft papercut art style. Layered paper creating depth and shadow. Clean cut edges with visible paper thickness. Limited color palette paper sheets. Kirigami or quilling techniques visible. Soft directional lighting emphasizing layers. Delicate handcrafted paper sculpture aesthetic.,Nano Banana Pro,1:1,2K
art_023,[스노우글로브] Snow globe collectible style. Miniature scene inside glass dome. Falling snowflakes suspended in liquid. Ornate decorative base design. Magical winter wonderland atmosphere. Warm interior lighting in tiny scene. Nostalgic Christmas decoration aesthetic. Reflections on curved glass surface.,Nano Banana Pro,3:4,2K
art_024,[코닥 포트라 400] Shot on Kodak Portra 400 film. Warm nostalgic color rendition with soft contrast. Subtle film grain texture throughout. Slightly lifted blacks with creamy highlights. Natural skin tones with pink undertones. Shallow depth of field bokeh. Golden hour warm lighting. Authentic analog photography aesthetic.,Nano Banana Pro,4:5,2K
art_025,[후지 벨비아 풍경] Fujifilm Velvia 50 slide film aesthetic. Hyper-saturated vivid colors. High contrast with deep blacks. Landscape photography style. Dramatic color rendition especially greens and blues. Fine grain high sharpness. Epic vista composition. Nature photography golden hour.,Nano Banana Pro,16:9,2K
art_026,[1990년대 필름] 1990s disposable camera flash photography. Direct harsh flash with red-eye possibility. Slightly off-color vintage tones. Amateur snapshot aesthetic. Visible date stamp in corner optional. Nostalgic party or casual moment vibe. Imperfect charming lo-fi quality.,Nano Banana Pro,4:3,2K
art_027,[폴라로이드 즉석] Polaroid instant film style. Square format with iconic white border. Slightly faded vintage colors. Soft focus with subtle vignette. Characteristic Polaroid color shift. Nostalgic 1970s-80s aesthetic. Casual snapshot intimate moment. Handwritten caption space below image.,Nano Banana Pro,1:1,2K
art_028,[시네마틱 영화] Cinematic film still composition. Anamorphic lens flare and wide aspect ratio. Teal and orange color grading. Dramatic chiaroscuro lighting. 35mm film texture subtle grain. Movie poster worthy composition. Atmospheric haze or fog. Professional cinematography quality.,Nano Banana Pro,21:9,2K
art_029,[흑백 필름누아르] Classic film noir black and white. High contrast dramatic shadows. Venetian blind light patterns. 1940s Hollywood glamour aesthetic. Cigarette smoke atmospheric haze. Mysterious moody composition. Hard lighting with defined shadows. Classic detective movie atmosphere.,Nano Banana Pro,16:9,2K
art_030,[패션 에디토리얼] High fashion editorial photography style. Professional studio or location lighting. Vogue magazine aesthetic. Dramatic pose and composition. Perfect styling and grooming. Luxury aspirational atmosphere. Clean crisp focus. Fashion forward artistic vision.,Nano Banana Pro,9:16,2K
art_031,[사이버펑크 네온] Cyberpunk neon-lit urban scene. Rain-slicked streets reflecting neon signs. Hot pink cyan and purple color palette. Futuristic dystopian cityscape. Holographic advertisements and flying vehicles. Blade Runner aesthetic atmosphere. High tech low life contrast. Dense urban vertical composition.,Nano Banana Pro,9:16,2K
art_032,[레트로웨이브 신스] Synthwave retrowave aesthetic. Purple and pink sunset gradient sky. Chrome text and palm tree silhouettes. 1980s retro-futurism style. Grid perspective extending to horizon. Neon glow effects throughout. VHS tracking line artifacts optional. Outrun video game aesthetic.,Nano Banana Pro,16:9,2K
art_033,[베이퍼웨이브] Vaporwave aesthetic collage style. Pastel pink and cyan color scheme. Greek statue busts and Roman columns. Glitch effects and chromatic aberration. Japanese text characters scattered. Windows 95 interface elements. Surreal dreamlike consumer critique. Lo-fi digital nostalgia.,Nano Banana Pro,1:1,2K
art_034,[글리치 아트] Digital glitch art corruption style. Databending visual artifacts. RGB channel separation and displacement. Corrupted pixel blocks and scan lines. Intentional digital decay aesthetic. Broken beautiful destruction. Error as artistic expression. Chaotic yet composed.,Nano Banana Pro,1:1,2K
art_035,[네온 사인] Glowing neon sign typography art. Bent glass tube lighting effect. Warm glow against dark background. Bar or urban nightlife atmosphere. Reflection on wet surfaces. Electrical buzzing ambiance suggested. Retro signage craftsmanship. Colorful gas-filled tube illumination.,Nano Banana Pro,16:9,2K
art_036,[홀로그래픽] Holographic iridescent surface effect. Rainbow light refraction patterns. Prismatic color shifting material. Futuristic otherworldly aesthetic. Metallic yet ethereal quality. Y2K early 2000s influence. Dreamlike surreal atmosphere. Light interacting with special surface.,Nano Banana Pro,1:1,2K
art_037,[픽셀 아트] Retro pixel art 16-bit style. Limited color palette constraint. Visible square pixels intentionally. Video game sprite aesthetic. Clean pixel placement. Nostalgic gaming era artwork. Dithering for color transitions. 1990s console game quality.,Nano Banana Pro,1:1,2K
art_038,[동양화 수묵] Traditional East Asian ink wash painting. Black sumi ink on rice paper. Zen minimalist brushwork. Negative space as compositional element. Mountain mist atmosphere. Calligraphic brushstroke energy. Philosophical contemplative mood. Seal stamp in corner optional.,Nano Banana Pro,9:16,2K
art_039,[진채화 민화] Korean minhwa folk painting style. Vibrant saturated mineral pigments. Decorative symbolic elements. Tigers magpies and peonies motifs. Flat perspective naive charm. Auspicious blessing imagery. Traditional Korean aesthetic. Bold outline with color fill.,Nano Banana Pro,3:4,2K
art_040,[아르누보] Art Nouveau decorative style. Organic flowing curved lines. Floral and natural motifs intertwined. Mucha poster aesthetic. Elegant feminine figures. Decorative border framing. Muted yet rich color palette. Turn of century European elegance.,Nano Banana Pro,9:16,2K
art_041,[아르데코] Art Deco geometric glamour. Bold symmetrical patterns. Gold black and cream palette. Sunburst and chevron motifs. 1920s luxury aesthetic. Gatsby era opulence. Strong vertical lines. Architectural decorative fusion.,Nano Banana Pro,9:16,2K
art_042,[스테인드글라스] Stained glass window artwork. Lead came dark outlines between colored glass. Light shining through translucent sections. Cathedral Gothic aesthetic. Rich jewel tone colors. Religious or secular imagery. Medieval craftsmanship style. Luminous backlit effect.,Nano Banana Pro,9:16,2K
art_043,[타로 카드] Mystical tarot card illustration style. Ornate decorative border framing. Symbolic esoteric imagery. Rich jewel tone color palette. Art Nouveau meets occult aesthetic. Rider-Waite influence. Mystical spiritual atmosphere. Detailed intricate illustration.,Nano Banana Pro,9:16,2K
art_044,[앤디 워홀 팝아트] Andy Warhol pop art silkscreen style. Bold flat colors in repeated grid. High contrast posterized image. CMYK color separation effect. Celebrity culture commentary. Mass production aesthetic. Bright unnatural color choices. Factory screen print look.,Nano Banana Pro,1:1,2K
art_045,[리히텐슈타인 만화] Roy Lichtenstein comic book pop art. Ben-Day dots pattern throughout. Bold black outlines. Primary colors red blue yellow. Speech bubble optional. Dramatic comic panel composition. Ironic appropriation of commercial art. Large scale comic enlargement.,Nano Banana Pro,1:1,2K
art_046,[뱅크시 스트릿아트] Banksy stencil street art style. Black and white spray paint stencil. Satirical political social commentary. Urban wall texture background. Subversive wit and irony. One accent color red optional. Guerrilla art aesthetic. Thought-provoking imagery.,Nano Banana Pro,16:9,2K
art_047,[키스 해링] Keith Haring bold line art style. Thick black outlines on bright colors. Dancing figures and radiant babies. Energetic movement lines. Subway graffiti energy. Pop art meets street art. Simple iconic symbolic forms. Joyful activist aesthetic.,Nano Banana Pro,1:1,2K
art_048,[바스키아 표현주의] Jean-Michel Basquiat neo-expressionist style. Raw energetic brushwork. Crown and skull motifs. Text words and symbols scattered. Anatomical drawings influence. Street art meets fine art. Vibrant colors with black outlines. Cultural commentary layered composition.,Nano Banana Pro,1:1,2K
art_049,[미니멀리즘 포스터] Minimalist poster design style. Extreme simplification of forms. Limited two to three color palette. Negative space dominant. Swiss design influence. Clean geometric shapes. Typography as design element optional. Less is more philosophy.,Nano Banana Pro,9:16,2K
art_050,[이소메트릭 일러스트] Isometric illustration style. 30-degree angle projection throughout. Clean vector graphic aesthetic. Flat colors with subtle shadows. Architectural diagram influence. Infographic design quality. No vanishing point perspective. Modern tech startup aesthetic. Organized grid-based composition.,Nano Banana Pro,1:1,2K
